event_id,start_utc,end_utc,duration_s,peak_db,avg_db,dominant_freq_hz,freq_spread_hz,baseline_db,band_db_at_start,peak_prominence_db,max_near_peak_bins,event_type,image_file,wav_file
1,2026-04-18T21:09:03.211133,2026-04-18T21:09:03.380084,0.169,-14.39,-17.86,1476.6,152.3,-26.86,-23.13,11.16,12,broadband_rejected,,
2,2026-04-18T21:20:58.561232,2026-04-18T21:20:58.731345,0.17,-14.22,-18.05,1570.3,199.2,-26.69,-22.23,10.47,15,broadband_rejected,,
3,2026-04-18T21:59:21.951210,2026-04-18T21:59:22.291262,0.34,-14.5,-16.22,1652.3,105.5,-27.35,-22.37,9.42,13,broadband_rejected,,
4,2026-04-18T21:59:23.499102,2026-04-18T21:59:24.001006,0.502,-12.69,-13.84,1558.6,316.4,-27.15,-21.05,11.18,23,broadband_rejected,,
5,2026-04-18T21:59:25.032429,2026-04-18T21:59:25.211436,0.179,-9.1,-11.6,1359.4,46.9,-26.87,-16.86,9.35,12,broadband_rejected,,
6,2026-04-18T21:59:25.712551,2026-04-18T21:59:25.884011,0.171,-9.19,-10.8,1570.3,82.0,-26.7,-16.95,9.22,21,broadband_rejected,,
7,2026-04-18T21:59:26.391345,2026-04-18T21:59:26.570422,0.179,-7.26,-8.6,1617.2,328.1,-26.5,-15.06,10.68,16,broadband_rejected,,
8,2026-04-18T21:59:27.852600,2026-04-18T21:59:28.021231,0.169,-5.07,-6.74,1523.4,293.0,-25.89,-11.85,9.06,21,broadband_rejected,,
9,2026-04-18T21:59:28.521303,2026-04-18T21:59:28.870248,0.349,-6.13,-8.12,1382.8,339.8,-25.69,-14.95,11.18,15,broadband_rejected,,
10,2026-04-18T21:59:30.241264,2026-04-18T21:59:30.490940,0.25,-6.52,-9.87,1482.4,293.0,-25.23,-16.02,11.42,13,broadband_rejected,,
11,2026-04-18T21:59:31.080485,2026-04-18T21:59:31.249217,0.169,-12.61,-13.55,1464.8,257.8,-25.12,-19.54,9.13,12,broadband_rejected,,
12,2026-04-18T21:59:32.021091,2026-04-18T21:59:32.200753,0.18,-11.82,-13.79,1617.2,117.2,-24.97,-19.0,8.93,18,broadband_rejected,,
13,2026-04-18T22:02:29.099765,2026-04-18T22:02:29.270686,0.171,-14.14,-16.0,1335.9,140.6,-26.89,-20.78,7.58,16,broadband_rejected,,
14,2026-04-18T22:02:30.888741,2026-04-18T22:02:31.060390,0.172,-11.41,-15.52,1628.9,58.6,-26.68,-20.64,12.23,23,broadband_rejected,,
15,2026-04-18T22:02:32.510026,2026-04-18T22:02:32.681599,0.172,-12.86,-15.06,1593.8,140.6,-26.37,-19.57,8.02,21,broadband_rejected,,
16,2026-04-18T22:02:33.371775,2026-04-18T22:02:33.710026,0.338,-11.36,-13.08,1500.0,316.4,-26.24,-20.82,11.49,17,broadband_rejected,,
17,2026-04-18T22:02:34.221304,2026-04-18T22:02:34.389287,0.168,-9.33,-11.68,1652.3,375.0,-26.1,-17.23,8.99,18,broadband_rejected,,
18,2026-04-18T22:02:34.899245,2026-04-18T22:02:35.329235,0.43,-9.61,-11.71,1441.4,328.1,-25.95,-16.6,9.73,16,broadband_rejected,,
19,2026-04-18T22:02:40.451267,2026-04-18T22:02:40.620661,0.169,-13.43,-17.38,1535.2,35.2,-25.71,-20.07,8.06,16,broadband_rejected,,
20,2026-04-19T00:10:00.259259,2026-04-19T00:10:00.430788,0.172,-14.21,-19.46,1335.9,269.5,-27.81,-24.71,12.75,15,broadband_rejected,,
21,2026-04-19T01:50:30.510226,2026-04-19T01:50:30.681636,0.171,-14.91,-17.92,1324.2,11.7,-27.7,-24.32,12.42,14,broadband_rejected,,
22,2026-04-19T02:57:32.439880,2026-04-19T02:57:32.610322,0.17,-15.54,-17.47,1300.8,0.0,-27.95,-24.59,13.46,6,meteor_candidate,meteor_logs\event_v3_00022.png,
23,2026-04-19T03:48:05.269505,2026-04-19T03:48:05.441352,0.172,-15.82,-19.01,1371.1,11.7,-28.08,-24.49,10.97,13,broadband_rejected,,
24,2026-04-19T04:58:09.469779,2026-04-19T04:58:09.639626,0.17,-15.78,-16.14,1511.7,175.8,-28.15,-23.66,11.27,18,broadband_rejected,,
25,2026-04-19T05:26:51.410102,2026-04-19T05:26:51.580025,0.17,-15.25,-19.18,1382.8,93.8,-28.11,-23.49,10.4,14,broadband_rejected,,
