event_id,start_utc,end_utc,duration_s,peak_db,avg_db,dominant_freq_hz,freq_spread_hz,baseline_db,band_db_at_start,peak_prominence_db,max_near_peak_bins,event_type,image_file,wav_file
1,2026-05-17T18:38:00.026571,2026-05-17T18:38:00.197237,0.171,-12.48,-17.28,1582.0,281.2,-24.88,-20.88,10.59,20,broadband_rejected,,,
2,2026-05-17T18:47:32.954665,2026-05-17T18:47:33.125331,0.171,-11.41,-16.93,1371.1,152.3,-24.82,-19.48,10.17,16,broadband_rejected,,,
3,2026-05-17T18:51:55.781374,2026-05-17T18:51:55.952041,0.171,-12.56,-16.0,1371.1,199.2,-24.81,-20.68,11.11,7,meteor_candidate,meteor_logs\event_v3_00003.png,meteor_logs\waterfalls\event_v3_00003.png,
4,2026-05-17T18:59:20.368114,2026-05-17T18:59:20.538781,0.171,-12.62,-15.87,1394.5,58.6,-24.9,-20.09,8.86,14,broadband_rejected,,,
5,2026-05-17T19:02:52.848149,2026-05-17T19:02:53.018816,0.171,-12.72,-18.08,1335.9,11.7,-24.88,-21.39,11.43,18,broadband_rejected,,,
6,2026-05-17T19:31:43.920433,2026-05-17T19:31:44.091099,0.171,-12.6,-18.15,1511.7,210.9,-24.87,-21.47,11.02,20,broadband_rejected,,,
7,2026-05-17T19:49:59.771279,2026-05-17T19:49:59.941946,0.171,-12.4,-17.69,1406.2,117.2,-24.83,-21.51,11.81,25,broadband_rejected,,,
8,2026-05-17T20:00:31.152716,2026-05-17T20:00:31.323382,0.171,-11.86,-16.46,1371.1,82.0,-24.88,-20.39,11.06,16,broadband_rejected,,,
9,2026-05-17T20:02:25.328734,2026-05-17T20:02:25.499401,0.171,-12.66,-17.53,1371.1,46.9,-24.86,-19.4,8.47,13,broadband_rejected,,,
10,2026-05-17T20:40:11.697106,2026-05-17T20:40:11.867773,0.171,-11.81,-16.06,1546.9,269.5,-24.84,-21.04,12.39,17,broadband_rejected,,,
11,2026-05-17T21:14:52.380114,2026-05-17T21:14:52.550780,0.171,-11.82,-16.75,1464.8,164.1,-24.79,-20.36,10.44,25,broadband_rejected,,,
12,2026-05-17T21:23:33.510866,2026-05-17T21:23:33.681532,0.171,-12.43,-16.2,1546.9,222.7,-24.86,-20.09,10.97,13,broadband_rejected,,,
13,2026-05-17T21:30:46.662937,2026-05-17T21:30:46.833603,0.171,-12.26,-16.61,1429.7,199.2,-24.86,-20.12,9.82,16,broadband_rejected,,,
14,2026-05-17T21:35:29.628316,2026-05-17T21:35:29.798983,0.171,-12.79,-17.04,1488.3,70.3,-24.82,-20.85,11.19,18,broadband_rejected,,,
15,2026-05-17T21:35:36.710984,2026-05-17T21:35:36.881651,0.171,-12.38,-16.75,1535.2,199.2,-24.84,-19.43,9.92,14,broadband_rejected,,,
16,2026-05-17T22:08:47.793977,2026-05-17T22:08:47.964644,0.171,-12.48,-17.34,1523.4,363.3,-24.8,-20.1,9.81,17,broadband_rejected,,,
17,2026-05-17T22:16:35.932721,2026-05-17T22:16:36.103387,0.171,-12.55,-16.83,1347.7,246.1,-24.79,-21.06,12.64,16,broadband_rejected,,,
18,2026-05-17T22:31:24.679533,2026-05-17T22:31:24.850200,0.171,-12.6,-17.25,1500.0,398.4,-24.88,-19.67,10.41,19,broadband_rejected,,,
19,2026-05-17T22:47:32.615692,2026-05-17T22:47:32.786358,0.171,-11.49,-16.66,1347.7,339.8,-24.87,-20.21,11.61,12,broadband_rejected,,,
20,2026-05-17T23:22:35.144036,2026-05-17T23:22:35.314703,0.171,-11.32,-15.9,1429.7,35.2,-24.81,-19.45,10.51,13,broadband_rejected,,,
21,2026-05-17T23:29:57.597442,2026-05-17T23:29:57.768109,0.171,-12.59,-16.7,1441.4,257.8,-24.85,-20.6,10.58,18,broadband_rejected,,,
22,2026-05-17T23:51:52.413658,2026-05-17T23:51:52.584324,0.171,-11.7,-17.88,1453.1,246.1,-24.82,-20.84,11.4,16,broadband_rejected,,,
23,2026-05-18T00:24:49.843315,2026-05-18T00:24:50.013982,0.171,-12.72,-15.8,1476.6,199.2,-24.78,-21.69,13.11,9,meteor_candidate,meteor_logs\event_v3_00023.png,meteor_logs\waterfalls\event_v3_00023.png,
24,2026-05-18T00:37:03.454102,2026-05-18T00:37:03.624769,0.171,-12.58,-16.11,1535.2,152.3,-24.8,-20.74,9.76,18,broadband_rejected,,,
25,2026-05-18T01:02:45.513021,2026-05-18T01:02:45.683688,0.171,-12.44,-17.99,1699.2,105.5,-24.85,-21.83,11.84,15,broadband_rejected,,,
26,2026-05-18T01:03:38.505030,2026-05-18T01:03:38.675697,0.171,-12.55,-17.12,1464.8,269.5,-24.87,-21.34,12.54,13,broadband_rejected,,,
27,2026-05-18T01:09:54.313092,2026-05-18T01:09:54.483758,0.171,-12.77,-15.92,1488.3,117.2,-24.78,-21.44,11.92,10,meteor_candidate,meteor_logs\event_v3_00027.png,meteor_logs\waterfalls\event_v3_00027.png,
28,2026-05-18T01:54:34.206864,2026-05-18T01:54:34.377531,0.171,-12.45,-16.87,1640.6,82.0,-24.79,-20.95,11.68,15,broadband_rejected,,,
29,2026-05-18T02:04:32.905629,2026-05-18T02:04:33.076296,0.171,-12.61,-16.92,1652.3,269.5,-24.81,-21.17,11.94,13,broadband_rejected,,,
30,2026-05-18T02:11:42.815033,2026-05-18T02:11:42.985700,0.171,-12.14,-17.27,1359.4,281.2,-24.79,-20.08,10.42,21,broadband_rejected,,,
31,2026-05-18T02:14:58.911065,2026-05-18T02:14:59.081732,0.171,-12.73,-16.65,1418.0,152.3,-24.81,-21.06,10.36,16,broadband_rejected,,,
32,2026-05-18T02:26:30.452512,2026-05-18T02:26:30.623178,0.171,-12.55,-18.23,1511.7,222.7,-24.82,-21.03,9.55,21,broadband_rejected,,,
33,2026-05-18T02:34:43.167259,2026-05-18T02:34:43.337926,0.171,-12.66,-17.69,1453.1,164.1,-24.85,-20.19,9.67,20,broadband_rejected,,,
34,2026-05-18T02:36:21.129942,2026-05-18T02:36:21.300609,0.171,-11.83,-15.69,1441.4,328.1,-24.76,-21.65,12.99,14,broadband_rejected,,,
35,2026-05-18T02:37:29.225953,2026-05-18T02:37:29.396620,0.171,-12.42,-16.1,1488.3,316.4,-24.81,-21.03,13.25,15,broadband_rejected,,,
36,2026-05-18T03:08:05.770254,2026-05-18T03:08:05.940921,0.171,-12.68,-16.39,1441.4,222.7,-24.84,-19.46,8.72,20,broadband_rejected,,,
37,2026-05-18T03:17:07.039676,2026-05-18T03:17:07.210343,0.171,-12.33,-16.4,1371.1,128.9,-24.81,-21.09,14.06,17,broadband_rejected,,,
38,2026-05-18T03:40:53.301243,2026-05-18T03:40:53.471910,0.171,-12.66,-17.8,1605.5,304.7,-24.78,-21.44,11.62,22,broadband_rejected,,,
39,2026-05-18T03:48:04.831981,2026-05-18T03:48:05.002647,0.171,-12.51,-17.14,1617.2,375.0,-24.82,-20.49,11.46,12,broadband_rejected,,,
40,2026-05-18T04:05:51.669489,2026-05-18T04:05:51.840156,0.171,-12.19,-16.74,1511.7,82.0,-24.9,-21.63,13.14,17,broadband_rejected,,,
41,2026-05-18T04:58:54.091344,2026-05-18T04:58:54.262011,0.171,-12.75,-17.49,1406.2,46.9,-24.79,-19.54,7.87,16,broadband_rejected,,,
42,2026-05-18T05:01:53.803373,2026-05-18T05:01:53.974040,0.171,-12.77,-17.0,1441.4,246.1,-24.8,-20.17,10.7,18,broadband_rejected,,,
43,2026-05-18T05:23:04.928915,2026-05-18T05:23:05.099582,0.171,-12.8,-17.9,1312.5,93.8,-24.81,-20.4,10.61,21,broadband_rejected,,,
44,2026-05-18T05:32:00.310336,2026-05-18T05:32:00.481003,0.171,-12.75,-16.9,1500.0,375.0,-24.89,-20.73,12.52,12,broadband_rejected,,,
45,2026-05-18T05:32:46.134344,2026-05-18T05:32:46.305010,0.171,-12.73,-16.02,1418.0,128.9,-24.84,-21.37,10.73,16,broadband_rejected,,,
46,2026-05-18T05:45:11.777133,2026-05-18T05:45:11.947799,0.171,-12.59,-17.79,1582.0,269.5,-24.81,-20.41,10.83,20,broadband_rejected,,,
47,2026-05-18T06:01:23.553292,2026-05-18T06:01:23.723958,0.171,-11.92,-17.6,1617.2,316.4,-24.86,-20.78,10.7,20,broadband_rejected,,,
48,2026-05-18T06:07:00.022680,2026-05-18T06:07:00.193347,0.171,-12.62,-16.47,1394.5,82.0,-24.83,-20.77,10.66,17,broadband_rejected,,,
49,2026-05-18T06:12:00.993396,2026-05-18T06:12:01.164063,0.171,-12.63,-18.35,1476.6,281.2,-24.8,-21.23,12.66,19,broadband_rejected,,,
50,2026-05-18T06:17:39.681452,2026-05-18T06:17:39.852118,0.171,-12.3,-16.76,1335.9,152.3,-24.74,-19.17,7.53,17,broadband_rejected,,,
51,2026-05-18T06:20:35.980147,2026-05-18T06:20:36.150814,0.171,-12.47,-17.05,1418.0,304.7,-24.77,-21.66,14.15,22,broadband_rejected,,,
52,2026-05-18T06:21:29.654823,2026-05-18T06:21:29.825490,0.171,-12.73,-17.43,1382.8,175.8,-24.83,-20.84,10.62,12,broadband_rejected,,,
53,2026-05-18T06:28:47.756228,2026-05-18T06:28:47.926895,0.171,-12.11,-16.9,1406.2,152.3,-24.8,-20.01,9.83,15,broadband_rejected,,,
54,2026-05-18T06:34:22.604283,2026-05-18T06:34:22.774950,0.171,-12.02,-16.47,1488.3,164.1,-24.78,-21.45,14.1,16,broadband_rejected,,,
55,2026-05-18T06:42:34.295030,2026-05-18T06:42:34.465697,0.171,-12.6,-17.19,1371.1,175.8,-24.75,-20.65,11.4,12,broadband_rejected,,,
56,2026-05-18T06:43:58.348377,2026-05-18T06:43:58.519044,0.171,-12.36,-16.29,1453.1,234.4,-24.8,-20.82,11.75,18,broadband_rejected,,,
57,2026-05-18T06:54:05.239143,2026-05-18T06:54:05.409810,0.171,-12.58,-17.92,1382.8,23.4,-24.79,-20.69,13.05,17,broadband_rejected,,,
58,2026-05-18T07:14:20.642009,2026-05-18T07:14:20.812676,0.171,-12.48,-18.16,1640.6,175.8,-24.84,-19.93,9.62,18,broadband_rejected,,,
59,2026-05-18T07:18:43.383386,2026-05-18T07:18:43.554052,0.171,-12.55,-17.83,1570.3,281.2,-24.78,-20.91,12.44,18,broadband_rejected,,,
60,2026-05-18T07:56:38.541092,2026-05-18T07:56:38.711759,0.171,-12.85,-17.39,1511.7,140.6,-24.96,-20.02,8.49,14,broadband_rejected,,,
61,2026-05-18T09:37:16.814082,2026-05-18T09:37:16.984748,0.171,-12.8,-16.68,1335.9,257.8,-24.9,-21.64,12.18,13,broadband_rejected,,,
62,2026-05-18T09:46:25.251505,2026-05-18T09:46:25.422172,0.171,-12.56,-16.98,1453.1,234.4,-24.82,-20.68,11.95,21,broadband_rejected,,,
63,2026-05-18T10:20:11.321170,2026-05-18T10:20:11.491837,0.171,-12.7,-16.53,1500.0,70.3,-24.87,-20.31,10.45,16,broadband_rejected,,,
64,2026-05-18T10:23:36.718537,2026-05-18T10:23:36.889204,0.171,-12.62,-15.87,1371.1,70.3,-24.78,-21.05,9.91,10,meteor_candidate,meteor_logs\event_v3_00064.png,meteor_logs\waterfalls\event_v3_00064.png,
65,2026-05-18T10:27:51.267912,2026-05-18T10:27:51.438579,0.171,-12.79,-17.53,1558.6,105.5,-24.82,-20.63,10.44,17,broadband_rejected,,,
66,2026-05-18T10:28:24.035918,2026-05-18T10:28:24.206584,0.171,-12.21,-17.79,1558.6,339.8,-24.83,-21.16,12.99,24,broadband_rejected,,,
67,2026-05-18T10:36:02.873326,2026-05-18T10:36:03.043993,0.171,-12.31,-15.6,1570.3,164.1,-24.81,-21.09,14.18,16,broadband_rejected,,,
68,2026-05-18T10:37:49.966677,2026-05-18T10:37:50.137344,0.171,-12.66,-17.85,1476.6,199.2,-24.86,-20.81,10.26,18,broadband_rejected,,,
69,2026-05-18T10:38:55.502688,2026-05-18T10:38:55.673355,0.171,-12.29,-17.82,1476.6,304.7,-24.78,-20.12,10.12,16,broadband_rejected,,,
70,2026-05-18T10:49:17.156123,2026-05-18T10:49:17.326790,0.171,-10.82,-16.89,1605.5,339.8,-24.84,-18.37,9.7,24,broadband_rejected,,,
71,2026-05-18T10:53:03.289494,2026-05-18T10:53:03.460160,0.171,-11.68,-16.73,1593.8,257.8,-24.81,-18.94,9.44,14,broadband_rejected,,,
72,2026-05-18T11:00:07.737563,2026-05-18T11:00:07.908230,0.171,-12.68,-16.14,1371.1,175.8,-24.83,-19.46,10.57,24,broadband_rejected,,,
73,2026-05-18T11:06:41.038961,2026-05-18T11:06:41.209628,0.171,-12.2,-16.58,1523.4,128.9,-24.85,-19.96,9.8,16,broadband_rejected,,,
74,2026-05-18T11:56:26.852784,2026-05-18T11:56:27.023450,0.171,-12.64,-15.95,1476.6,128.9,-24.81,-21.16,10.5,15,broadband_rejected,,,
75,2026-05-18T12:18:21.156999,2026-05-18T12:18:21.327666,0.171,-12.58,-17.18,1652.3,293.0,-24.86,-20.75,10.14,15,broadband_rejected,,,
76,2026-05-18T12:19:31.301011,2026-05-18T12:19:31.471677,0.171,-11.71,-16.85,1371.1,187.5,-24.83,-21.12,12.96,20,broadband_rejected,,,
77,2026-05-18T12:37:55.599858,2026-05-18T12:37:55.770525,0.171,-12.51,-16.99,1406.2,187.5,-24.82,-20.98,10.08,10,meteor_candidate,meteor_logs\event_v3_00077.png,meteor_logs\waterfalls\event_v3_00077.png,
78,2026-05-18T12:47:28.613286,2026-05-18T12:47:28.783952,0.171,-12.79,-16.7,1582.0,257.8,-24.82,-20.56,9.51,14,broadband_rejected,,,
79,2026-05-18T12:52:07.738665,2026-05-18T12:52:07.909331,0.171,-12.61,-17.3,1441.4,187.5,-24.8,-20.75,11.37,21,broadband_rejected,,,
